lang,count
en,494840317
deleted_tweet,340536075
ja,223390071
es,116353833
pt,81069014
ar,74134700
ko,54468649
th,33606424
fr,29759883
tr,22883255
ru,22066610
id,11023275
en-gb,8444903
it,8091596
de,7089944
pl,4127757
nl,3517999
en-GB,1752210
ca,1597331
zh-cn,1253048
el,1120042
sv,1021761
vi,965839
zh-tw,663908
zh-TW,504737
zh-CN,493365
fi,443427
uk,394760
he,359832
fa,333028
sr,325112
da,300957
cs,297495
hu,249822
ro,229095
hi,197355
no,180129
hr,143921
es-MX,108337
pt-PT,102084
fil,86670
bg,81427
gl,62258
xx-lc,55174
sk,48428
msa,48073
eu,44095
lv,28647
en-AU,28084
zh-Hans,19118
ur,12303
nb,12292
ta,11569
zh-Hant,11462
ga,7966
bn,6129
zh-HK,5391
ms,4540
fr-CA,4317
mr,4188
en-IN,4178
en-US,2815
gu,2568
kn,2287
cy,2130
in,1930
sq,1771
zh,1599
sl,1467
lt,1044
et,1024
af,831
be,796
pt-BR,585
ckb,348
az,348
en-SS,256
is,255
ka,218
mk,213
pa,173
to,134
co,126
km,126
EN,124
es-ES,100
en-xx,100
haw,96
en-CA,90
mn,84
ms-Arab,60
zz,54
lo,53
gsw,50
TR,46
en-ss,43
bs,41
de-AT,39
lolc,36
my,29
zh-SG,28
ae,24
eo,24
fr-CH,23
sr-Latn,21
ml,21
iw,20
ne,17
de-CH,17
so,16
ig,16
us,15
kiswahili,12
c,11
ku,10
ps,9
gb,9
gd,9
ld,8
sw,8
si,8
le,8
jp,7
hy,7
te,6
bo,6
nl-BE,5
kk,5
gv,5
tl,5
pa-Arab,4
uz,3
sa,3
la,3
kw,2
jv,2
fr-FR,2
ht,2
nd,2
fo,2
or,2
xx,1
ks-Arab,1
hd,1
mm,1
ky,1
hdp,1
as,1
md,1
